x,humidity,temperature
588,61.0,24.0
589,61.0,24.0
590,61.0,24.0
591,60.0,26.0
592,61.0,24.0
593,61.0,24.0
594,61.0,24.0
595,61.0,24.0
596,61.0,24.0
597,61.0,24.0
598,60.0,26.0
599,61.0,24.0
600,60.0,26.0
601,61.0,24.0
602,61.0,24.0
603,61.0,24.0
604,61.0,24.0
605,61.0,24.0
606,61.0,24.0
607,61.0,24.0
608,61.0,24.0
609,60.0,26.0
610,61.0,24.0
611,61.0,24.0
612,61.0,24.0
613,61.0,24.0
614,61.0,26.0
615,61.0,24.0
616,61.0,24.0
617,61.0,24.0
618,61.0,24.0
619,61.0,24.0
620,60.0,25.0
621,61.0,24.0
622,61.0,24.0
623,61.0,24.0
624,61.0,24.0
625,61.0,24.0
626,61.0,24.0
627,61.0,24.0
628,61.0,24.0
629,61.0,24.0
630,61.0,24.0
631,61.0,24.0
632,61.0,24.0
633,61.0,24.0
634,61.0,24.0
635,61.0,24.0
636,60.0,26.0
637,61.0,24.0
638,61.0,24.0
639,61.0,24.0
640,60.0,26.0
641,61.0,24.0
642,61.0,24.0
643,61.0,24.0
644,61.0,24.0
645,61.0,24.0
646,61.0,24.0
647,61.0,24.0
648,61.0,24.0
649,61.0,24.0
650,61.0,24.0
651,61.0,24.0
652,61.0,24.0
653,61.0,24.0
654,61.0,24.0
655,61.0,24.0
656,61.0,24.0
657,60.0,26.0
658,61.0,24.0
659,61.0,24.0
660,61.0,24.0
661,61.0,24.0
662,61.0,24.0
663,61.0,24.0
664,61.0,24.0
665,61.0,24.0
666,61.0,24.0
667,61.0,24.0
668,61.0,24.0
669,61.0,24.0
670,61.0,24.0
671,61.0,24.0
672,61.0,24.0
673,61.0,24.0
674,61.0,24.0
675,61.0,24.0
676,61.0,24.0
677,61.0,24.0
678,61.0,24.0
679,61.0,24.0
680,61.0,24.0
681,61.0,24.0
682,61.0,24.0
683,61.0,24.0
684,61.0,24.0
685,61.0,24.0
686,61.0,24.0
687,61.0,24.0
688,61.0,24.0
689,61.0,24.0
690,61.0,24.0
691,61.0,24.0
692,61.0,24.0
693,61.0,24.0
694,61.0,24.0
695,61.0,24.0
696,61.0,24.0
697,61.0,24.0
698,61.0,24.0
699,61.0,24.0
700,61.0,24.0
701,61.0,24.0
702,61.0,24.0
703,61.0,24.0
704,61.0,24.0
705,61.0,24.0
706,61.0,24.0
707,61.0,24.0
708,61.0,24.0
709,61.0,24.0
710,61.0,24.0
711,61.0,24.0
712,61.0,24.0
713,61.0,24.0
714,61.0,24.0
715,61.0,24.0
716,61.0,24.0
717,61.0,24.0
718,61.0,24.0
719,61.0,24.0
720,61.0,24.0
721,61.0,24.0
722,61.0,24.0
723,61.0,24.0
724,61.0,24.0
725,61.0,24.0
726,61.0,24.0
727,61.0,24.0
